10 10
999  365  654  33  225  152  910  707  398  281  
999  999  999  999  999  999  999  999  999  999  
364  37  0  629  855  0  350  618  201  375   
999  999  999  999  999  999  999  999  999  999
508  753  917  741  20  378  205  211  51  396   
999  999  999  999  999  999  999  999  999  999
389  562  200  973  997  305  952  943  247  894   
999  999  999  999  999  999  999  999  999  999
619  387  98  929  748  208  272  981  879  375  
999  999  999  999  999  999  999  999  999  999 

131  229  301  267  243  741  932  156  981  291  
138  400  321  632  373  130  365  127  833  923  
979  317  81  743  661  760  508  365  489  728  
656  876  966  263  838  648  531  584  676  614  
186  145  681  862  81  355  213  63  104  531  
104  27  484  644  945  560  583  276  125  256  
105  209  234  603  250  278  861  703  721  268  
467  306  295  727  430  389  953  735  575  504  
188  368  771  136  640  168  384  898  802  995  
704  172  338  218  604  539  441  642  633  200 
 
