10 10
142  365  654  33  225  152  910  707  398  281  
443  318  362  882  271  629  52  508  604  48  
364  37  199  629  855  342  350  618  201  375  
525  258  561  131  15  270  526  768  730  815  
508  753  917  741  20  378  205  211  51  396  
127  341  647  8  438  319  196  992  211  47  
389  562  200  973  997  305  952  943  247  894  
673  124  922  407  699  221  556  962  297  663  
619  387  98  929  748  208  272  981  879  375  
637  457  591  261  639  278  615  888  971  868  

209  279  535  297  466  169  594  367  773  951  
430  540  357  160  211  547  830  416  759  415  
725  924  382  545  280  284  873  827  172  33  
313  556  998  32  609  92  968  495  634  498  
634  657  835  612  652  599  564  913  404  423  
367  525  850  178  178  313  906  141  838  689  
337  214  564  107  472  87  281  427  182  811  
636  933  247  956  109  3  266  408  219  606  
98  932  730  992  539  895  905  342  888  969  
862  878  127  745  558  415  825  47  906  198  

260  655  198  948  914  234  138  524  837  184  
956  881  724  451  3  901  127  51  49  300  
183  327  861  281  546  888  749  228  107  801  
659  891  285  334  561  849  365  89  468  846  
767  871  728  269  571  307  588  502  276  654  
772  791  270  531  782  926  358  585  551  731  
911  963  232  379  269  165  476  775  211  470  
28  59  514  72  547  764  87  57  486  907  
503  870  806  295  394  362  795  324  258  721  
523  238  858  789  588  485  480  442  910  684  

310  535  183  779  232  493  512  948  368  948  
371  582  942  584  413  630  157  680  822  14  
459  949  121  592  173  533  326  941  930  537  
160  71  418  627  800  952  153  239  808  709  
222  20  956  60  45  506  691  830  963  395  
142  622  527  734  836  564  920  168  495  531  
738  764  408  505  65  607  569  436  306  975  
117  145  636  6  728  5  578  770  792  450  
725  428  584  870  361  970  284  46  166  22  
820  286  182  617  462  702  37  743  276  809  

131  229  301  267  243  741  932  156  981  291  
138  400  321  632  373  130  365  127  833  923  
979  317  81  743  661  760  508  365  489  728  
656  876  966  263  838  648  531  584  676  614  
186  145  681  862  81  355  213  63  104  531  
104  27  484  644  945  560  583  276  125  256  
105  209  234  603  250  278  861  703  721  268  
467  306  295  727  430  389  953  735  575  504  
188  368  771  136  640  168  384  898  802  995  
704  172  338  218  604  539  441  642  633  200 
 
